COMMUNITY_AREA_NAME,CENSUS_BLOCK,BUILDING_TYPE,BUILDING_SUBTYPE,KWH_JANUARY_2010,KWH_FEBRUARY_2010,KWH_MARCH_2010,KWH_APRIL_2010,KWH_MAY_2010,KWH_JUNE_2010,KWH_JULY_2010,KWH_AUGUST_2010,KWH_SEPTEMBER_2010,KWH_OCTOBER_2010,KWH_NOVEMBER_2010,KWH_DECEMBER_2010,TOTAL_KWH,ELECTRICITY_ACCOUNTS,ZERO_KWH_ACCOUNTS,THERM_JANUARY_2010,THERM_FEBRUARY_2010,THERM_MARCH_2010,THERM_APRIL_2010,THERM_MAY_2010,THERM_JUNE_2010,THERM_JULY_2010,THERM_AUGUST_2010,THERM_SEPTEMBER_2010,THERM_OCTOBER_2010,THERM_NOVEMBER_2010,THERM_DECEMBER_2010,TOTAL_THERMS,GAS_ACCOUNTS,KWH_TOTAL_SQFT,THERMS_TOTAL_SQFT,KWH_MEAN_2010,KWH_STANDARD_DEVIATION_2010,KWH_MINIMUM_2010,KWH_1ST_QUARTILE_2010,KWH_2ND_QUARTILE_2010,KWH_3RD_QUARTILE_2010,KWH_MAXIMUM_2010,KWH_SQFT_MEAN_2010,KWH_SQFT_STANDARD_DEVIATION_2010,KWH_SQFT_MINIMUM_2010,KWH_SQFT_1ST_QUARTILE_2010,KWH_SQFT_2ND_QUARTILE_2010,KWH_SQFT_3RD_QUARTILE_2010,KWH_SQFT_MAXIMUM_2010,THERM_MEAN_2010,THERM_STANDARD_DEVIATION_2010,THERM_MINIMUM_2010,THERM_1ST_QUARTILE_2010,THERM_2ND_QUARTILE_2010,THERM_3RD_QUARTILE_2010,THERM_MAXIMUM_2010,THERMS_SQFT_MEAN_2010,THERMS_SQFT_STANDARD_DEVIATION_2010,THERMS_SQFT_MINIMUM_2010,THERMS_SQFT_1ST_QUARTILE_2010,THERMS_SQFT_2ND_QUARTILE_2010,THERMS_SQFT_3RD_QUARTILE_2010,THERMS_SQFT_MAXIMUM_2010,TOTAL_POPULATION,TOTAL_UNITS,AVERAGE_STORIES,AVERAGE_BUILDING_AGE,AVERAGE_HOUSESIZE,OCCUPIED_UNITS,OCCUPIED_UNITS_PERCENTAGE,RENTER_OCCUPIED_HOUSING_UNITS,RENTER_OCCUPIED_HOUSING_PERCENTAGE,OCCUPIED_HOUSING_UNITS
Albany Park,,,,2220671,2109977,2078785,2080695,2582217,2881111,2683380,2614551,2196303,2236975,2572044,2611331,28868040,636,363,270493,213493,158624,82739,47881,25599,20464,18072,24207,40705,93500,206269,1202046,237,1643197,1459262,145065.5,718983.5,199,5682,11576,25182,9214828,8882.15,22342.29,600,1463,2340,5593,232469,5835.17,15238.4,44,1157,1711,3527,170425,7445.21,20326.03,600,1402,2131.5,5019.5,232469,20271,7713,1.65,66.77,678.87,6822,0.8845,4535,0.6648,6822
Archer Heights,,,,1681133,1537013,1508250,1604688,1769408,1983709,1916261,1864656,1671363,1627799,1659764,1874740,20698784,114,58,263351,221963,166892,94288,67741,62986,66531,75045,71108,77913,112594,206492,1486904,105,1422458,1793970,291532.2,855743.79,112,6140,21263,164340,5980609,20918.5,54154.12,588,1212,2468.5,12155,326091,16521.16,62850.07,97,1114,1507,5395,492734,21105.53,66049.64,520,1119,1600,4100,435435,4055,1597,1.29,51.49,219.83,1472,0.9217,644,0.4375,1472
Armour Square,,,,1019810,1182215,1043623,1020908,1069333,1135115,1403466,1307974,1111612,1032310,1169747,1345210,13841323,404,76,121277,83625,94582,44519,27671,22174,19444,20396,19731,28473,62263,112212,656367,67,1025975,903924,234598.7,538462.12,357,5711,28318,216764,3351426,17689.22,27999.95,882,1911,5534,20500,132094,10939.45,17888.81,87,958,2002.5,10252.5,86467,15320.75,27488.83,882,1920,5419,13000,132094,5294,2468,1.8,36.85,165.3,2275,0.9218,1723,0.7574,2275
Ashburn,,,,2508955,2667015,2508769,2639879,3348938,3448348,3697114,3116143,2741147,3229727,3303222,3801941,37011198,281,123,190792,164349,132801,59017,31137,21464,10477,22907,14293,28620,61891,132498,870246,208,1809982,1773419,185985.9,1474921.14,159,4881,11058,30014,20396794,9627.56,49156.51,624,1125.5,1683,5016,659485,4329.58,9766.88,28,1042,1415,2829,110266,9094.46,48432.98,624,1078,1356,3920,659485,14401,5094,1.31,42.66,683.51,4751,0.9327,971,0.2044,4751
Auburn Gresham,,,,2098056,1966320,1846645,1750305,1950891,2209779,2191244,2090741,1670173,1734975,2273953,2736907,24519989,727,389,455320,397220,281565,133573,82845,39754,29625,27948,28063,63842,177954,394243,2111952,407,2436693,2360039,63523.29,173156.55,123,3816,9902.5,22520,1654101,6902.81,22201.11,506,1200,1964,5008,353513,5692.59,18021.19,26,1163,1885,3458,296603,6629.32,22140.09,506,1151,1795,4500,353513,22248,10467,1.46,61.23,1148.76,8659,0.8273,5278,0.6095,8659
Austin,,,,4914217,4602145,4276679,3741778,4655376,5035923,5490870,5368086,4598089,4103613,4760380,5642098,57189254,1249,709,824780,738069,523439,261901,152696,97750,87539,81756,94876,144435,349969,697764,4054974,663,5074297,4245945,89920.21,322986.11,106,4711,11347,26936,3352817,8763.9,24079.71,122,1500,2520,5965,367300,6803.65,20420.88,25,1237,1926.5,3988,300371,7595.61,17434.64,672,1440,2400,5727,195448,48897,19985,1.58,59.6,2061.92,16903,0.8458,11419,0.6756,16903
Avalon Park,,,,765318,591094,548456,546482,561253,553416,550277,577188,484164,585935,747036,855011,7365630,121,62,130575,106298,75686,43561,31215,25783,22612,22742,23080,30950,52525,121928,686955,111,605375,969393,76725.31,377787.93,100,4713,9095,18918.5,3523599,6580.16,31466.77,200,1180,1666.5,3382.5,299606,6480.71,21410.62,25,1024,1776,3931,206476,9693.93,33974.12,600,1247,1909,4304.5,299606,3553,1527,1.33,57.29,218.93,1335,0.8743,335,0.2509,1335
Avondale,,,,1411929,1355511,1326372,1241245,1618390,1788565,1811734,1663774,1484830,1470532,1605170,1791242,18569294,255,157,219380,180556,145576,81719,39717,23123,19601,18349,18701,29580,67356,166983,1010641,207,1305355,1022718,109231.1,459068.3,139,5800,9941.5,26247,5318175,8314.36,24672.74,300,1300,2274,4969,243600,6200.25,16057.69,73,1060,1719,4346,139472,6514.13,13921.2,300,1251,2220,5686,138485,12002,4951,1.45,61.82,469.6,4342,0.877,2794,0.6435,4342
Belmont Cragin,,,,2089837,2400735,2210776,2274712,2725378,3080353,3024102,2990352,2574851,2401706,2818770,2967803,31559375,866,322,495569,461671,300423,139364,99034,56940,50769,51217,53287,91421,215208,502957,2517860,429,2695775,2806677,81548.77,300779.13,126,5021,11545,26649,2950345,7509.12,21979.91,141,1300,2100,6091,282500,6556.93,18046.28,39,1193,1729,4355.5,196896,7689.53,22625.42,200,1219,1968,5751,282500,29058,9026,1.39,55.29,1499.9,8197,0.9081,4409,0.5379,8197
Beverly,,,,560023,584902,518471,548344,684296,779664,780407,689834,572004,565168,762021,729952,7775086,285,104,111224,90435,69747,28649,17250,11365,8395,8128,7582,11809,40152,92980,497716,131,818592,644045,49522.84,129068.46,253,6784,11197,25930,1051119,6248.79,10239.84,810,1578,2320,4838,58533,3950.13,7350.56,45,1227,1945.5,2894,47169,5279.06,9134.92,819,1460,2292,3700,58533,9250,4671,1.63,58.32,399.42,4181,0.8951,1952,0.4669,4181
Bridgeport,,,,2649974,2551970,2848726,2747138,3298406,3410631,3693863,3383587,3272752,2981207,2918982,2657128,36414364,343,164,356488,266991,248975,79428,45634,25555,22752,19879,23557,39833,153871,333115,1616078,259,1746218,2872025,165519.8,912812.93,119,6047.5,11395.5,39580.5,11242735,8355.11,15882.78,484,1500,2338,6331,105710,7119.29,21925.39,62,950,1599,3546,247463,14217.95,92440.75,588,1303,2222,6323,1304468,16640,7306,1.44,59.13,598.41,6445,0.8822,3820,0.5927,6445
Brighton Park,,,,1347827,1410908,1259798,1238368,1404637,1614426,1632470,1726260,1502387,1319201,1394203,1512031,17362516,292,152,274034,231872,175240,69596,41790,27871,21588,19866,21597,33852,91910,216806,1226022,243,1877358,1894554,78563.42,230311.39,100,5195,10902,27522,1972360,8691.47,20996.6,280,1125,2019,4275,139314,5702.43,12041.16,64,1080,1591,3339,76977,9152.43,20933.88,300,1128,1970,4506,136012,16846,5413,1.4,54.2,791.33,4624,0.8542,2677,0.5789,4624
Burnside,,,,264004,324667,308677,302692,341032,356029,340311,309799,292797,277470,338174,423190,3878842,117,42,83168,57775,55350,13541,8541,2637,2325,2038,2505,10967,30734,86022,355603,42,472742,460918,99457.49,290582.2,221,4247,8348,16115,1433081,12440.58,33507.48,714,1104,1664,3072,143643,9118.03,22800.02,274,1036,1498,2858,90797,11818.41,33155.92,663,1104,1848,2915,143643,1900,893,1.51,66.73,145.37,751,0.841,450,0.5992,751
Calumet Heights,,,,1546739,1446454,1363576,1414796,1650509,1871270,1952576,1680314,1383376,1361837,1751805,2017277,19440529,184,102,180225,118939,162636,68413,54959,40991,35727,33227,39528,53833,103837,187154,1079469,144,831770,1281634,148401,957922.59,129,4632,10195,33499,10711733,6931.42,13133.8,300,1262,1864,3858.5,73800,8705.4,53788.02,79,1052.5,1619.5,2620.5,598346,10954.14,59214.67,300,1252,1600,2855,634936,4144,1914,1.54,55.34,315.66,1717,0.897,634,0.3692,1717
Chatham,,,,886167,862385,838307,844807,960821,1113659,1136125,1022549,845302,907896,1062348,1195916,11676282,634,414,263302,218935,173999,89133,51287,23891,18080,17893,18930,38777,107756,233130,1255113,249,1390638,1268345,43406.25,115065.65,115,5234,10928,21167,979214,6236.04,11624.91,500,1176,2100,5901,82110,5340.91,11951.58,38,1094,1711,4247,115489,5791.53,14098.57,700,1144,1891,3748,142134,17272,10435,1.5,56.36,686.53,8396,0.8046,5933,0.7066,8396
Chicago Lawn,,,,1075366,1029545,983100,990490,1184787,1291230,1318809,1415874,1035276,1018442,1144872,1275472,13763263,421,397,254142,215874,150095,74485,43653,27809,28042,25512,25395,42981,96976,219225,1204189,375,1078653,1093851,47955.62,163061.58,127,3225,7756,20643,1579303,3980.27,6460.23,300,1200,1760,3448,45000,4123.93,9067.66,30,938,1692,2607,70500,3920.61,7393.72,300,1163,1601,3100,62336,22701,7862,1.47,62.48,1208.49,6456,0.8212,3732,0.5781,6456
Clearing,,,,863373,811436,749534,802344,948137,1083483,1029279,1051734,850695,779920,883106,1037354,10890395,216,95,133721,116137,83866,37288,19628,11570,8989,8882,9547,16271,41335,101002,588236,129,715613,729699,90003.26,265669.1,396,6243,11876,43887,2084178,6222.72,12866.97,86,1284,2308,5400,87227,4821.61,9868.91,107,943,1519.5,4372,73217,6131.92,13100.41,726,1200,1952,4700,87227,7065,2910,1.42,42.58,339.73,2683,0.922,1015,0.3782,2683
Douglas,,,,6624880,6691612,6314805,6310737,7228751,7998428,9175928,9096556,7657890,6727588,7140361,7717075,88684611,804,298,380809,304127,220432,114488,73311,44556,46042,48104,46220,94124,191760,336065,1900038,73,2128961,1631858,1214858,6606556.43,188,6979,17978,336240,55419434,29985.37,66717.52,410,2200,4400,14964,378000,26761.1,51821.55,205,1379,3690,16176,251365,23997.91,52151.86,451,2160,5065,14277.5,254859,9663,4405,2.39,35.36,166.33,3747,0.8506,2559,0.6829,3747
Dunning,,,,1505577,1654605,1520959,1566544,1865673,2161247,2275265,2186841,1795222,1668599,1847180,1992827,22040539,589,190,350778,291171,214158,110174,94995,56889,36487,37954,42678,65401,154612,309917,1765214,322,2456674,2460057,78716.21,489410.96,196,7141.5,11245.5,21351,7460330,9412.54,48705.35,113,1168,1760,4237,690366,5884.05,27791.28,97,1130.5,1491,3083,360466,8367.54,45927.95,594,1093,1578.5,3512,690366,18478,7832,1.57,53.8,864.68,7301,0.9322,2200,0.3013,7301
East Garfield Park,,,,1887506,2012164,1807533,1837159,2066725,2037966,2255292,2233284,2051976,1835099,2028889,2555553,24609146,494,281,546908,340160,373930,107478,59865,30747,20241,18952,23442,57663,224467,461571,2265424,241,2396497,2526507,114461.1,396563.92,113,4515,9478,24785,3031681,12164.96,45235.23,93,1360,2226,6000,464766,11159.72,42658.62,40,1540,2337,5886,536780,13158.89,45963.81,640,1453,2534,6157.5,464766,14728,6426,1.54,53.75,696.45,5145,0.8007,4066,0.7903,5145
East Side,,,,1234030,1169506,1024702,1029100,1024856,1023273,908406,954301,877768,993220,1254373,1276189,12769724,143,75,125850,103835,83349,36894,19382,9893,6646,6123,7115,17490,49495,106222,572294,145,979754,868026,102981.6,401069.1,431,4812,8893.5,21523,3695104,7901.24,23333.33,117,1074,1575.5,2965.5,180489,4402.26,12836.07,42,1010,1471.5,2293,117705,6781.45,21139.22,640,1062,1504,2776.5,180489,7756,2555,1.31,55.1,461.25,2269,0.8881,906,0.3993,2269
Edgewater,,,,5791710,4436045,3300147,3314944,3606998,4537193,4025829,3798947,3092907,3821281,6921551,6641729,53289281,2930,1015,619343,510906,378394,194658,135070,66514,55724,56247,71350,147575,294651,601840,3132272,226,8671406,4477430,240041.8,1007332.35,303,7308,18323.5,78184,11859460,44697.97,229242.24,600,2288,3854,14300,2752368,15059,38748.97,87,1315.5,2717,13051.5,412077,23199.12,99963.09,825,2130,3357,11900,1245247,40043,22893,3.05,58.34,495.13,20530,0.8968,13273,0.6465,20530
Edison Park,,,,383938,410620,401786,440408,558233,608687,580454,514053,423869,410622,456842,467644,5657156,192,55,117982,91900,73551,38658,22768,12520,9094,7906,8715,15166,34834,78443,511537,95,524261,465178,73469.56,249650.57,293,6685,10637,22196,1989296,7597.99,13341.74,864,1552,2714,7383,78700,6238.26,9487.11,110,1210,2339,6250,55060,6840.85,12486.24,864,1427.5,2101.5,7019.5,78700,4894,2774,1.57,46.21,188.86,2599,0.9369,1233,0.4744,2599
Englewood,,,,1783889,1966486,1564426,1549178,1874182,2108378,2162899,2244602,1664033,1672094,2042417,2305825,22938409,1182,745,426695,369081,261248,127395,77551,32003,28281,27158,35751,84284,204227,442781,2116455,390,3077783,2691051,53846.03,231066.02,101,3337,8012.5,15545,3518716,7675.27,27127.41,200,1192,1880,3224,297012,5879.04,15039.78,33,1151.5,1891,3536.5,181427,7688.72,25147.02,200,1192,1891,3500,297012,20976,10062,1.75,78.62,1467.61,7097,0.7053,5213,0.7345,7097
Forest Glen,,,,1023402,912358,716416,766689,977414,1179294,1163718,964554,760971,800563,1307053,1404991,11977423,275,67,128244,111596,76582,35379,20946,9338,7531,6958,7424,18682,50261,120517,593458,158,766170,749980,81479.07,287548.11,3499,8222,13874,27570,2487262,5512.01,11778.42,674,1352,2010,4240,111600,4009.85,6159.1,154,1175,1631.5,2872,41502,5357,12140.72,674,1289.5,1901,3526,111600,6472,2677,1.54,49.75,398.22,2504,0.9354,489,0.1953,2504
Fuller Park,,,,590923,593941,576885,546222,663164,644518,699742,660675,604430,597427,624542,702589,7505058,367,199,145908,117030,103662,44428,18764,9084,6812,7247,8518,21500,73020,128026,683999,62,750584,768995,113713,355298.06,120,2711,7993,18088,2552052,11727.88,30377.11,100,1000,1958.5,6414.5,201152,12214.27,33308.35,117,1025,1597,3009.5,185483,13981.73,33886.91,100,986,1992,6162,201152,1989,1126,1.53,57.78,173.7,853,0.7575,631,0.7397,853
Gage Park,,,,2595319,2647217,2397152,2384401,2670172,2898988,2946263,3074714,2585956,2425127,2857879,3127161,32610349,354,168,216683,181068,123550,51934,36005,25106,22030,19599,22164,39505,100329,201775,1039748,184,2188264,2138178,189595.1,1220877.89,137,4681.5,10897,19611,15368363,13937.99,72801.95,200,1174,1784,4663,879900,6080.4,12178.9,57,1187,1652,4124,71534,13532.77,72220.36,200,1104,1723,4494,879900,13282,3902,1.49,57.06,703.07,3492,0.8948,1973,0.565,3492
Garfield Ridge,,,,1441562,1367572,1340630,1561797,1561194,1871890,1954834,1929342,1438736,1335332,1527418,1769850,19100157,462,144,424761,346070,275876,168760,129299,100931,94862,90908,104102,140777,222251,355999,2454596,248,1116803,1530611,86036.74,281997.29,135,6153,11873,39600,2574857,5292.91,9691.04,400,1100,1900,4562,65716,11007.16,98349.17,44,1035,1524,3825,1464144,7053.51,19001.95,400,1080,1855,4614,198778,10280,4178,1.36,43.45,627.9,3856,0.9229,1483,0.3846,3856
Grand Boulevard,,,,1446566,1858785,1597030,1314220,1553999,1664996,1778202,1855897,1470409,1511646,1866706,2386954,20305410,937,421,295946,224982,211628,81785,38457,30858,19097,24137,23390,49613,141806,284468,1426167,199,2215399,1662885,117372.3,379186.16,221,6699,13189,49231,2905795,13265.86,38207.42,300,2114,3063,8172,390214,8858.18,22031.23,168,1417,2434,5688,222394,10797.95,23305.65,840,2221,3162,7922,187272,11312,6887,1.87,51.64,421.33,5616,0.8154,4401,0.7837,5616
Greater Grand Crossing,,,,2407392,2313099,2147071,2085397,2011262,2489436,2397967,2206563,2152395,2097805,2450609,2812830,27571826,438,336,682872,627715,503810,284119,95846,41077,31458,43672,39347,159102,395960,705234,3610212,318,1596431,2589207,92834.43,672314.23,107,3723,8060,17757,10128126,5847.73,10805.51,551,1360,2230,4478,78767,12802.17,114660.63,33,1228,1955.5,3937,1917731,9661.22,39351.54,600,1360,2197,4835.5,597049,20909,9896,1.54,66.74,863.48,7762,0.7844,5706,0.7351,7762
Hegewisch,,,,201295,212003,207286,223586,234138,251503,265041,258064,217810,213517,239939,261641,2785823,96,19,42722,32809,28715,13194,5812,3563,2738,2407,2534,3563,9089,23464,170610,74,386497,247405,35263.58,75366.1,277,4468,8475,36128,496086,5019.44,13428.68,600,1212,1728,3141,110719,2369.58,2802.85,452,1019.5,1311.5,2571.5,18985,3484.58,5470.56,546,1212,1728,3141,39484,2436,1028,1.29,48.37,191.27,931,0.9056,335,0.3597,931
Hermosa,,,,570509,704809,685185,623713,765381,845942,833600,819654,680037,675053,770470,848429,8822782,186,113,396241,348798,272115,176307,150113,129053,116585,133320,129109,138861,218645,367666,2576813,120,1536031,1237835,80942.95,219934.76,115,4764,10201,21078,1287352,17067.01,45596.92,836,1638,3536,8500,336900,24777.05,118677.34,121,1219.5,1886,7345.5,1014035,12894.11,29733.13,836,1200,2433,5700,195583,11210,4182,1.51,60.37,397.38,3740,0.8943,2696,0.7209,3740
Humboldt Park,,,,3134909,3099375,2939250,2754168,3274947,3423308,3518045,3639515,2865504,2910846,3709821,4162062,39431750,779,416,876032,747001,649624,430999,398936,387442,398853,394848,370430,429368,570825,913124,6567482,403,4598636,3937976,104871.7,450581.11,107,4014,9565,26812.5,6901944,12881.33,55564.51,100,1121,2070,5295,850228,18344.92,198122.61,27,1008,1634.5,3841,3731164,11582.28,33741.27,494,1175,2105,5300.5,413691,29607,11117,1.54,64.2,1362,9264,0.8332,6290,0.679,9264
Hyde Park,,,,988250,902461,870778,788976,808066,929705,1042481,975926,776025,789191,1067337,1331594,11270790,769,356,324730,303773,269859,121997,113790,38104,31443,29445,33649,69385,157370,290450,1783995,133,1891759,3101341,81672.39,192555.81,331,7826,15320.5,38093,1249432,18730.29,30274.59,896,2730,5332,20481,175104,17153.8,24041.45,146,2045,7473.5,24481,139573,32992.99,78738.91,880,2748,7671.5,24282,561251,26450,14815,3.11,51.04,300.22,13203,0.8912,8734,0.6615,13203
Irving Park,,,,2100277,2044580,1978322,1991902,2449016,2953927,2696669,2573278,2129827,2021972,2296564,2628116,27864450,756,285,453447,390967,283445,152558,104088,67274,58824,56748,56423,84207,185079,367077,2260137,349,3223219,2823184,88458.57,336913.07,209,7127,13142,29569,3679464,11349.36,50444.45,642,1300,2300,5832.5,665631,7661.48,21735.92,43,1192,1774,5586,207342,10011.29,44245.81,642,1273,2290,6639,665631,28204,12827,1.67,59.09,902.39,11782,0.9185,7373,0.6258,11782
Jefferson Park,,,,1468384,1517614,1386699,1445982,1767611,1904462,1847645,1649511,1390194,1464302,1779826,1831012,19453242,555,121,205473,175073,138877,77432,49670,33642,25404,25187,26595,34718,70066,145422,1007559,266,1040983,1087315,90480.2,343321.16,230,5889,10787,21451,3918337,5257.49,10818.89,640,1168,1517.5,3889,85269,4030.24,8481.97,86,1077,1418.5,3075,80239,4474.55,9574.04,640,1122,1408,2987,85269,14408,6615,1.49,56.25,663.71,6069,0.9175,2537,0.418,6069
Kenwood,,,,1514588,1467831,1393508,1315174,1548120,1618034,1696199,1739934,1547276,1425469,1601969,1617184,18485286,628,266,235869,239079,194601,86687,57404,39143,35801,36274,35403,59247,145383,268211,1433102,64,1557425,1810971,293417.2,640314.3,345,7521,26663,368042,3778646,24721.03,41254.77,630,2716,6014,17363,175957,22747.65,41015.56,404,1507,3451,28641,227197,29688.05,64999.02,630,2566,5712,15765,415265,9078,4831,3.43,46.01,153.82,4313,0.8928,2983,0.6916,4313
Lakeview,,,,5353409,4931519,4760201,4754874,6117506,7227951,7788242,6771529,5278168,5033755,6085598,6974936,71077688,4295,1682,1071828,876313,675689,354402,214594,120221,109663,106299,122970,227536,503663,1025415,5408593,415,11452956,11967541,179037,1110955.12,131,8833,18129,50136,19840845,33005.64,200903.54,400,2059,3057,9490,2774361,15954.55,60840.77,34,1342,2058,6994,691826,37398.57,214911.2,400,1979,2997,7800,2774361,59202,40179,2.67,65.02,832,36470,0.9077,25512,0.6995,36470
