COMMUNITY_AREA_NAME,CENSUS_BLOCK,BUILDING_TYPE,BUILDING_SUBTYPE,KWH_JANUARY_2010,KWH_FEBRUARY_2010,KWH_MARCH_2010,KWH_APRIL_2010,KWH_MAY_2010,KWH_JUNE_2010,KWH_JULY_2010,KWH_AUGUST_2010,KWH_SEPTEMBER_2010,KWH_OCTOBER_2010,KWH_NOVEMBER_2010,KWH_DECEMBER_2010,TOTAL_KWH,ELECTRICITY_ACCOUNTS,ZERO_KWH_ACCOUNTS,THERM_JANUARY_2010,THERM_FEBRUARY_2010,THERM_MARCH_2010,THERM_APRIL_2010,THERM_MAY_2010,THERM_JUNE_2010,THERM_JULY_2010,THERM_AUGUST_2010,THERM_SEPTEMBER_2010,THERM_OCTOBER_2010,THERM_NOVEMBER_2010,THERM_DECEMBER_2010,TOTAL_THERMS,GAS_ACCOUNTS,KWH_TOTAL_SQFT,THERMS_TOTAL_SQFT,KWH_MEAN_2010,KWH_STANDARD_DEVIATION_2010,KWH_MINIMUM_2010,KWH_1ST_QUARTILE_2010,KWH_2ND_QUARTILE_2010,KWH_3RD_QUARTILE_2010,KWH_MAXIMUM_2010,KWH_SQFT_MEAN_2010,KWH_SQFT_STANDARD_DEVIATION_2010,KWH_SQFT_MINIMUM_2010,KWH_SQFT_1ST_QUARTILE_2010,KWH_SQFT_2ND_QUARTILE_2010,KWH_SQFT_3RD_QUARTILE_2010,KWH_SQFT_MAXIMUM_2010,THERM_MEAN_2010,THERM_STANDARD_DEVIATION_2010,THERM_MINIMUM_2010,THERM_1ST_QUARTILE_2010,THERM_2ND_QUARTILE_2010,THERM_3RD_QUARTILE_2010,THERM_MAXIMUM_2010,THERMS_SQFT_MEAN_2010,THERMS_SQFT_STANDARD_DEVIATION_2010,THERMS_SQFT_MINIMUM_2010,THERMS_SQFT_1ST_QUARTILE_2010,THERMS_SQFT_2ND_QUARTILE_2010,THERMS_SQFT_3RD_QUARTILE_2010,THERMS_SQFT_MAXIMUM_2010,TOTAL_POPULATION,TOTAL_UNITS,AVERAGE_STORIES,AVERAGE_BUILDING_AGE,AVERAGE_HOUSESIZE,OCCUPIED_UNITS,OCCUPIED_UNITS_PERCENTAGE,RENTER_OCCUPIED_HOUSING_UNITS,RENTER_OCCUPIED_HOUSING_PERCENTAGE,OCCUPIED_HOUSING_UNITS
Near South Side,,,,11784382,14163767,13775522,12436977,15184255,14834159,18118291,16079469,16956992,14387706,16519840,14633467,178874827,1485,381,373155,290560,222342,134291,97515,56639,48402,48331,57994,96893,192752,362072,1980946,49,15367811,13437906,3974996,19601101.24,172,40195,167040,777983,130126887,394046.4,1498504.89,1091,7455,27870,102300,9090576,43064.04,81318.6,518,2155,8536.5,39697,367734,292128.4,1353366.6,1553,4010,18032.5,61371,9090576,9715,7003,4.09,28.3,40.64,6141,0.8769,4802,0.782,6141
Near West Side,,,,35362948,35458619,37667589,38224752,48619249,52569078,55139826,51589125,41882244,37474501,39895433,40901987,514785351,4790,2322,6335548,5299982,4391043,2693870,2262504,1875059,1842373,1731502,1723688,2275500,3440335,5796167,39667571,427,28610030,21595315,1433942,10281085.32,107,11389,53424,471150,185805060,82927.62,286056.55,159,2617,8564,31395,2978751,104940.7,1431092.26,72,1530,4791,21209,27772736,60322.11,217066.13,200,2675,7650.5,29645,2200983,25110,14097,3.04,37.13,572.99,12204,0.8656,8826,0.7232,12204
New City,,,,8630786,8687716,8436271,8332839,8725653,9783261,9380743,9690511,9277566,8512713,9205822,9852595,108516476,602,407,899027,736246,543420,287619,203308,195155,181249,169023,177301,213552,401268,860182,4867350,432,4098106,5313754,287842.1,2211135.97,139,5095,11530,45827,33353909,10986.88,29163.35,300,1234,2154,5312,261400,13672.33,75847.13,31,1069,1861.5,3794.5,1254118,15138.9,91145.55,300,1248,2226,5760,1643208,20220,8042,1.48,65.14,1289.62,6354,0.7901,4319,0.6797,6354
North Center,,,,2090724,2155244,2119223,2022760,2345272,2604172,2494675,2478678,2150276,2282498,2358174,2790392,27892088,285,222,329117,277874,196942,97392,67256,43761,35508,31179,35426,61711,134134,275489,1585789,236,2378218,2169679,132190,603526.5,133,7840,14989,26520,6408154,11891.09,61922.57,500,1482.5,2353,3920,843901,7410.23,32399.55,37,1226,1677,2636,326616,10481.54,59769.67,680,1520,2428,3879,843901,13118,7610,1.58,61.47,525.48,6068,0.7974,3458,0.5699,6068
North Lawndale,,,,3525053,3677054,3412329,3201680,3604683,3790701,4175772,3941816,3725359,3391449,4191796,4236622,44874314,579,421,942272,803627,733517,506675,462299,411275,428139,432725,425091,464266,556529,834879,7001294,386,4071390,3684068,126406.5,563691.47,120,4860,9547,24602,6863422,12488.93,38446.6,200,1378,2357,5800,459500,20775.35,217858.23,73,1199,2201,4792,3978670,11405.78,27133.26,300,1400,2476,6200,264773,24792,9790,1.63,57.04,1053.03,7696,0.7861,6018,0.782,7696
North Park,,,,3026415,2849007,2734869,2718337,3201377,3397407,3443474,3218032,2840433,2843005,3393692,3127056,36793104,328,67,333328,277290,210973,99258,62891,47389,68781,41173,39959,63059,134135,268201,1646437,115,1562054,1410557,334482.8,1855559.78,265,7562,12775,36126,18101633,15939.33,58878.46,854,1650,2429,5142,531115,15532.42,79964.47,404,1329,1843,4358,805338,13965.91,56530.06,854,1650,2333,5513,531115,6592,2597,1.56,46.36,267.63,2405,0.9261,1329,0.5526,2405
Norwood Park,,,,3902473,3962044,3883076,4238067,5470284,6301314,5990260,5306337,4443582,3855759,4806837,4491670,56651703,634,130,470224,391732,321301,212050,162199,123275,110713,115244,126585,179054,260962,421008,2894347,296,2674226,2046008,202327.5,1945867.36,144,5911.5,10278,22152,32111804,10570.06,52994.98,400,1112,1500,3789,694722,10155.6,89317.05,51,975,1319,2517,1490946,7467.18,29496.77,400,1100,1492,3638,380980,15861,7114,1.47,51.57,739.07,6547,0.9203,1488,0.2273,6547
O'Hare,,,,1185304,1227033,1101650,1165068,1308360,1516399,1337715,1431820,1170274,1137894,1408003,1316817,15306337,494,240,136480,113829,95493,64100,62839,65956,77167,77271,37986,46626,80602,123289,981638,36,1254937,992684,340140.8,1259565.93,2608,12690,19717,29598,7773137,33917.22,90603.7,1266,3214,6864,14859,532200,28871.71,110474.97,506,2344,5240.5,8123,645280,35453,100998.06,1266,1884.5,6308,14931,532200,10709,5356,2.62,29.89,92.88,4912,0.917,2711,0.5519,4912
Oakland,,,,606995,674425,659414,557238,589675,576433,671706,633543,577961,575209,715955,895466,7734020,741,347,185557,162225,109981,95296,52733,26022,26145,27285,37827,56003,94444,177083,1050601,34,1117020,1186153,168130.9,286342.92,1348,9075,26528,280247,1452740,27244.39,55950.56,1440,2060,5400,15240,297138,30900.03,49344.85,438,2556,4370.5,46373,179711,35944.03,64219.99,1440,2028,5504,46032,297138,7155,3662,3.3,32.48,106.67,3165,0.8643,2850,0.9005,3165
Portage Park,,,,1920205,2067335,1713795,1858051,2255021,2591761,2600760,2379471,1954611,1839998,2135345,2285235,25601588,854,313,352667,320119,220219,114647,68823,38920,31651,30192,33485,54005,129200,296623,1690551,398,1691584,2007445,69193.48,260453.23,103,5262,10586.5,26575,3223616,5141.59,9166.72,300,1294,1953,4400,84853,4843.99,11418.52,45,1148,1657,3375,115150,6046.52,15842.78,600,1226.5,1877,4589,221968,27289,11105,1.49,58.15,1117.72,9994,0.9,4870,0.4872,9994
Pullman,,,,1002894,1065381,1007863,986485,1170214,1189882,1222118,1123245,895504,921438,1239146,1281097,13105267,89,42,115170,99269,62353,25097,13733,6411,5387,5945,5794,12014,34381,105371,490925,65,1537565,1337950,195601,542792.58,137,4900,11203,59095,2971265,23654.85,57631.21,728,1092,1735,5526,260200,8047.95,15523.39,86,1224,1810,5296,82510,22677.12,54904.84,728,1211,2112,7194,260200,3431,1603,1.6,61.99,190.78,1382,0.8621,790,0.5716,1382
Riverdale,,,,8830977,11332256,10023727,10855020,11646116,11640141,12353480,8749451,10178459,9601983,10217690,238650,115667950,34,24,158655,123014,79839,27100,34540,14923,8796,8411,9742,30578,80402,162690,738690,52,2534220,2886792,5029041,23637139.85,329,4706,9656,101129,113452691,115191.8,469461.36,864,1700,2866.5,22862,2214572,17178.84,45593.53,62,744,1480,6361,197137,72169.8,350450.26,731,1805.5,5833,9278.5,2214572,1899,1554,1.19,25.04,77.53,645,0.415,516,0.8,645
Rogers Park,,,,2136214,2161857,2008756,2057464,2446836,2824275,2781596,2484761,2108710,2293646,2611706,2752623,28668444,1918,1476,2084011,1792211,1481742,876463,564061,297238,249736,251629,293750,546707,1230830,1872493,11540871,269,3251901,3687333,91886.04,265476.09,394,10754.5,19589,66116.5,3570259,14200.44,21401.21,700,2610,6880,19917,234208,48902,526041.64,38,1948.5,5426,18232,8087200,17813.2,48555.33,700,2496,5555,18300,513907,48386,23495,2.33,56.61,764.72,21087,0.8975,15684,0.7437,21087
Roseland,,,,1370531,3482764,3137589,3261380,3290701,3986851,4082283,3826572,3270486,3075260,3964581,3900000,40648998,647,423,372075,321646,227969,103850,62569,31751,19644,26909,24624,56529,145057,337435,1730058,466,1631881,1822716,93445.97,1079757.16,104,3157,7941,14755,22326555,3821.74,8934.6,400,1086,1627,2911,107426,4080.33,10840.8,54,1078.5,1676.5,2600,134205,4360.56,14530.3,408,1035,1518,2792,234473,18465,7658,1.52,65.68,1446.33,6399,0.8356,3317,0.5184,6399
South Chicago,,,,1290261,1311061,1156547,1168713,1306935,1454063,1433780,1362254,1101717,1142183,1413315,1603241,15744070,630,402,347313,285936,214261,100683,55160,26227,24696,21030,22420,49255,140162,298848,1585991,323,1914583,1842573,56228.82,239009.5,128,3203,7400.5,17476.5,2616445,7197.68,23215.14,141,1260,2065,4711,255955,5746.34,17494.73,27,1002,1834,3054,198743,7141.76,19080.11,141,1225,1912,4567,229338,19811,9849,1.62,67.69,925.35,7906,0.8027,5668,0.7169,7906
South Deering,,,,9677002,9214545,8593639,8585102,6879846,8796801,8818417,9575661,9011973,10744740,10291032,11169476,111358234,139,63,1746586,1445439,1079744,609064,430936,328770,186828,314151,332870,571121,993200,1418201,9456910,137,4345639,6297084,843623,8238135.36,144,3655,8240,35344.5,94519595,34765.11,235509.18,630,981,1700,4475,2281846,76265.4,639081.36,38,947,1393.5,5481,7050313,50782.94,292243.17,630,981,1728,4679,2281846,9991,3893,1.25,41.63,385.85,3512,0.902,1379,0.3927,3512
South Lawndale,,,,9517291,9498337,9466157,8647266,10001605,11084355,12674916,12092675,10853638,9056096,9996259,10818655,123707250,324,186,1648418,1323681,1226368,773622,676579,582294,762597,737583,493982,620254,994970,1566232,11406580,348,7869444,7959034,465064.8,3875227.1,101,5920,16787.5,77280,60980143,30501.72,279370.17,100,1300,2300,6298,4447213,39333.03,364915.5,31,1140,1948,4961,6007577,29697.89,273961.04,100,1156,2273,6542,4447213,48760,9857,1.49,64.03,1069.64,7689,0.7801,5435,0.7069,7689
South Shore,,,,3275820,3078804,2699302,2640377,2757412,3264734,3245013,2878052,2598618,2899303,3474765,4231398,37043598,1908,1035,784302,642973,536504,310733,182659,103283,81391,78456,84574,167607,369734,642771,3984987,410,6205497,6228066,94019.28,519338.76,131,4276,11656,37040,9371305,20082.51,90306.56,600,1700,2905,9937,976279,12610.72,32869.24,32,1268,2302.5,6599.5,296470,22163.94,94880.32,600,1647,2992,9548,976279,47285,28271,2.25,65.77,1007.99,23173,0.8197,18415,0.7947,23173
Uptown,,,,4529292,4146613,3579986,3498339,4314653,5047177,5040275,4569352,3589651,3701922,5339617,6136746,53493623,2650,1092,819797,698841,561497,337535,242756,223718,223796,217929,139072,267311,426041,729948,4888241,175,6656288,7730900,318414.4,1140797.07,308,11756,36194.5,175720,12097266,44673.07,141509.11,700,3015,6697,21358,1442428,32159.48,84479.62,32,2208,6980.5,24201.5,832239,52951.37,150088.91,700,2880,7709,27476,1442428,41707,24004,3.58,62.53,321.89,21764,0.9067,15732,0.7228,21764
Washington Heights,,,,1324922,1167278,1009414,936248,1086266,1287674,1196498,1055227,916207,985275,1535864,1588241,14089114,402,138,252742,211253,147940,62444,36787,17231,15202,13489,16458,32978,89679,228617,1124820,232,1110928,1231812,60468.3,193627.74,128,4692,9125,19902,1801254,5072.73,11346.32,216,1072,1449,2730,69900,4977.08,14419.52,72,1171,1682,2837,187529,5702.83,13759.7,500,1064.5,1516,2831,96394,10248,4165,1.46,58.56,682.39,3768,0.9047,1343,0.3564,3768
Washington Park,,,,744844,633904,585793,645785,657697,704173,695741,725711,616395,639798,738952,844432,8233225,324,167,174450,117664,145835,55555,28313,19974,10168,15850,12672,29265,68496,145735,823977,96,910782,845268,84012.5,238479.42,291,5343,13558.5,47144,2005105,11384.78,19989.76,600,1759.5,3700,9331,110665,10172.56,20454.11,37,1700,3200,10230,157197,11270.24,18697.55,600,1760,3690,9462,97710,10957,5313,1.78,42.38,305.91,4103,0.7723,3539,0.8625,4103
West Elsdon,,,,422640,406921,378449,362950,435657,515290,585408,514736,399348,385820,423937,505783,5336939,149,50,97409,81802,55851,23441,15245,10538,10910,9961,8549,13710,36294,89670,453380,106,489733,388667,56775.95,172528,130,5314,11194,19263,1028330,5629.11,13778.1,594,1000,1296,2718,75962,4626.33,11964.09,358,968,1394.5,2496,79108,4134.76,11251.55,594,972,1197,2164,75962,6520,2061,1.41,50.45,345.72,1953,0.9476,701,0.3589,1953
West Englewood,,,,1434643,1407078,1167426,1200521,1243158,1506619,1372891,1380814,1119224,1192782,1522534,1977730,16525420,521,425,319381,272078,196762,84500,44665,17910,13832,13361,17795,38176,115479,265187,1399126,451,1810621,1984673,37472.61,183169.82,103,3165,6804,11808,1929531,4230.42,22252.38,230,1000,1531,2412,436714,3515.39,10734.8,50,1109,1657.5,2573,152646,5154.99,24432.28,500,1008,1600,2496,436714,20309,7852,1.51,75.08,1652.32,6012,0.7656,3261,0.5424,6012
West Garfield Park,,,,796168,772640,741684,741207,849534,917316,990480,979703,813426,775854,846864,1095391,10320267,319,416,277684,232038,177434,71534,45273,31785,26086,26146,28970,49087,112196,256668,1334901,204,1302206,1729423,60001.55,201548.24,100,4700.5,9217,23661,1980934,7892.16,18106.88,604,1631,2705,5691,183645,7716.19,18087.35,32,1210,1911,4134,134403,10609.96,23604.83,604,1700,2695,6253,183645,11502,6667,1.7,58.09,587.63,4012,0.6018,2962,0.7383,4012
West Lawn,,,,1018719,1026378,928229,959550,1077261,1220331,1214439,1142584,1013185,958013,1055920,1301345,12915954,360,136,333200,281105,304031,213679,223705,219918,212050,178304,152327,207770,241112,320472,2887673,160,2954888,871680,87269.96,322307.52,114,5409,9643.5,18384,2660497,21888.06,179921.21,400,1064,1620,4168,2077700,19914.99,186331.31,212,1147,1547,2977,2244772,6226.29,23717.15,400,1037.5,1438,3150.5,265940,10884,3309,1.49,52.49,600.59,3079,0.9305,1109,0.3602,3079
West Pullman,,,,1178854,1207345,1027748,1057788,1315355,1290581,1377732,1361820,1134448,1396808,1476449,1728709,15553637,469,419,447728,393221,303566,180118,146688,110922,104626,101439,99371,136617,233923,430238,2688457,370,1272553,1459765,44566.3,245895.99,104,3090,7593,13948,4124031,3710.07,8859.7,436,1020,1500,2554,99849,8001.36,60758.26,26,1080.5,1570,2499.5,947660,4450.5,12669.23,436,1017.5,1435,2544,144557,13561,5400,1.43,68.04,1297.08,4268,0.7904,1918,0.4493,4268
West Ridge,,,,2127696,2134499,1966631,2171863,2850467,3205792,3029485,2706874,2198842,2327668,2806096,2643053,30168966,2074,505,645922,525241,414830,222604,258380,158575,164646,164109,141971,165811,310841,610089,3783019,376,4488213,4374003,73225.65,241950.67,164,7213.5,13608.5,28875,2915123,13641.98,60295.19,500,1564,2874,8300,834018,10902.07,35027.37,60,1266,2056,6938,430126,13711.61,61704.12,500,1520,2591,6680,834018,44944,17764,1.78,50.96,1208.23,15759,0.887,9516,0.6038,15759
West Town,,,,4841291,6601122,6448430,6421480,7285673,8388976,8805374,8823177,7254141,6447652,6990660,7878841,86186817,1117,519,806693,650920,513984,245069,171218,119144,97150,101365,118595,170560,308484,686487,3989669,600,6039841,5553312,172719.1,1088069.96,189,7493,16316,48950,21990295,12609.27,69468.04,500,1638,2880,6100,1396390,8192.34,51595.74,30,1124,1880,3929,1108726,11866.05,68861.59,580,1600,2806,5893,1396390,32645,17057,1.63,59.28,1144.36,15408,0.9033,9982,0.6478,15408
Woodlawn,,,,21798638,23347481,23118182,24681697,29156941,35619496,35512279,34437470,29240219,24874094,24066706,24961508,330814711,904,367,299850,255140,220757,108320,71164,33919,23011,25822,23632,42085,94876,209438,1408014,191,1752390,1899044,1560447,21432398.68,118,5177.5,10500.5,36793,312098596,10071.21,21619.5,400,1722,2514,7049,159203,8000.08,17034.4,26,1136,1984.5,6443.5,130637,11722.49,32215.14,400,1668,2500,6400,304901,22856,10778,2.01,66.65,589.69,8716,0.8087,6866,0.7877,8716
