BLOCK_ID,TOTAL_KWH,TOTAL_THERMS,TOTAL_SQFT,TOTAL_SQFT,KWH_PER_SQFT,THERMS_PER_SQFT,KWH_PER_SQMETER,THERMS_PER_SQMETER
170310102012032,274672,55701,61983,71634,4.431408612,0.777577687,47.69930586,8.369780164
170310102012033,59391,17147,23738,29762,2.501937821,0.576137356,26.93064617,6.201493562
170310102012034,74640,12834,21986,21986,3.394887656,0.583735104,36.54228234,6.283275074
170310102012035,177857,39578,36709,36709,4.845051622,1.078155221,52.15172408,11.60517121
170310102012036,274611,62719,65056,65056,4.221147934,0.964077103,45.43607778,10.37724404
170310102012037,44042,7889,12384,12384,3.556363049,0.637031654,38.28038975,6.856954606
170310102012038,155786,35375,38306,38306,4.066882473,0.923484572,43.77557746,9.94030948
170310102012039,173367,30374,49969,49969,3.469491084,0.607856871,37.3453073,6.542919726
170310102012040,388409,51870,81340,55567,4.775129088,0.933467706,51.39908386,10.04776709
170310102013000,185598,74229,56351,53659,3.293606147,1.383346689,35.45209678,14.89022625
170310102013002,46144,7556,8463,8463,5.452440033,0.892827603,58.68960134,9.610320469
170310102013003,69432,12342,18113,16001,3.833268923,0.771326792,41.26098105,8.302496067
170310102013004,339230,56637,74366,94766,4.561627626,0.597651056,49.10097226,6.4330652
170310102013005,338596,58141,76982,76982,4.398378842,0.755254475,47.34377622,8.129495012
170310102013006,49787,7427,17424,17424,2.857380624,0.426251148,30.75660231,4.588131146
170310102013007,235191,31650,51706,51706,4.54862105,0.612114648,48.96097058,6.588750075
170310102013008,57430,9035,14340,14340,4.00488145,0.630055788,43.10820372,6.78186698
170310102013010,181870,28413,43905,45355,4.142352807,0.626457943,44.58793373,6.74314008
170310102013011,145340,33065,25539,30001,5.690904107,1.102129929,61.25640838,11.86323293
170310102021000,2527285,63676,42571,71850,,,,
170310102021001,2581800,133173,272932,281832,9.459499069,0.472526186,101.8212444,5.086231724
170310102021003,595684,11791,26843,26843,22.19140931,0.439257907,238.8664446,4.728134797
170310102021004,1967394,155145,120603,120603,16.31297729,1.286410786,175.5915018,13.84681642
170310102021005,297929,46520,50944,50944,5.848166614,0.913159548,62.94916864,9.8291718
170310102021007,72600,9320,37725,37725,1.92445328,0.247051027,20.71465163,2.65923627
170310102021009,301091,61575,74363,74363,4.048935627,0.828032758,43.58239913,8.912874269
170310102021010,15461,495,14806,14806,1.044238822,0.033432392,11.24009797,0.35986343
170310102021011,84219,17121,19675,18539,,,,
170310102021012,94264,24515,37570,37570,2.509023157,0.652515305,27.00691212,7.02361931
170310102022000,86257,19791,27348,25196,3.154051485,0.785481823,33.94994225,8.454859612
170310102022001,347203,52768,64160,67804,5.41151808,0.778243171,58.24912091,8.376943387
170310102022002,347743,19517,7000,18879,49.67757143,1.033794163,534.7251588,11.12767255
170310102022003,204125,31014,46283,46283,,,,
170310102022004,146545,34312,44072,35789,3.325127065,0.958730336,35.79138526,10.3196919
170310102022005,480029,88244,82193,82193,5.840266203,1.073619408,62.86412928,11.5563481
170310102022006,229633,27118,57819,44884,3.971583735,0.604179663,42.74978995,6.50333857
170310102022007,507500,137395,159447,159447,,,,
170310102022008,94059,46436,26195,24459,3.590723421,1.898524061,38.65024187,20.43555171
170310102022009,391097,58844,67498,44426,,,,
170310102022010,165530,39611,43992,63473,3.762729587,0.624060624,40.50170164,6.717335546
170310103001000,371492,96004,180496,180496,2.058173034,0.531889903,22.1539997,5.725217737
170310103001001,381704,69729,75749,78294,5.039063222,0.890604644,54.24004846,9.586392733
170310103001002,86107,6011,22386,22386,3.846466542,0.268516037,41.4030391,2.89028381
170310103001003,26753,18027,18174,18174,,,,
170310103001004,153146,41593,54740,54740,2.79769821,0.759828279,30.11418587,8.17872705
170310103001005,270843,41011,67213,67499,4.029622246,0.607579372,43.37451154,6.539932742
170310103001006,249985,47576,66706,66706,3.747563937,0.713219201,40.33845987,7.677030889
170310103001007,313421,145129,123913,90881,2.529363344,1.596912446,27.22585216,17.18902991
170310103002000,1448174,68696,180904,109537,8.005207182,0.627148817,86.16737007,6.750576594
170310103002001,148977,54293,68338,68338,2.180002341,0.79447745,23.46536001,8.551687785
170310103002002,389652,46318,63346,33556,6.151169766,1.380319466,66.21066883,14.85764148
170310103002003,32668,2846,4392,4392,7.438069217,0.647996357,80.06274519,6.97497774
170310103002004,28925,5134,6962,6962,4.154696926,0.737431772,44.72080478,7.937652955
170310103002005,14048,2953,3437,3437,4.087285423,0.859179517,43.99519309,9.248135335
170310103002006,76444,17065,15743,18122,4.855745411,0.941673105,52.26683111,10.1360893
170310103002007,258603,19799,20496,20219,12.61724239,0.979227459,135.8109253,10.54032119
170310103002009,98362,15866,25551,29235,3.849634065,0.542705661,41.43713406,5.841637633
170310103002010,131930,13009,28483,28483,4.631885686,0.456728575,49.85722405,4.916187582
170310103002011,58289,12439,22715,14114,2.566101695,0.881323509,27.62130066,9.486491379
170310103002012,40413,31702,19379,19379,2.085401724,1.635894525,22.447087,17.6086297
170310103002013,244185,37962,62198,55466,3.925930094,0.684419284,42.25837803,7.367031031
170310103002014,150241,29603,71922,51426,2.088943578,0.575642671,22.48521122,6.196168811
170310103002015,510124,101460,152624,152624,3.342357689,0.66477094,35.97685424,7.15553793
170310103002016,102639,23211,25660,25660,3.999961029,0.904559626,43.05524072,9.736602972
170310103002017,833565,77328,17913,17913,46.53408139,4.316864847,500.8888991,46.4663665
170310103003000,1978854,407352,272387,253337,7.264862126,1.607945148,78.19835879,17.30778498
170310103003002,277136,103197,100127,90116,2.767844837,1.145157353,29.7928467,12.32637647
170310103003003,137423,23289,28561,38531,4.81156122,0.604422413,51.79123623,6.50595151
170310103003004,127820,16557,22300,22300,5.731838565,0.742466368,61.6970234,7.99184491
170310103003005,26194,15070,9435,15231,2.776258612,0.989429453,29.88341185,10.65013458
170310103003006,56834,,19050,,2.983412073,,32.11319412,
170310103003007,224029,45461,60233,60233,,,,
170310103004000,149326,34815,37119,37119,4.022899324,0.937929362,43.30214658,10.09579198
170310103004001,284068,98343,92207,47145,3.080763933,2.08596882,33.16108127,22.45319117
170310103004002,142490,23548,35865,35865,3.972954134,0.656573261,42.7645408,7.067298805
170310103004003,58894,4628,20478,20478,2.87596445,0.225998633,30.95663703,2.432630084
170310103004004,16733,13675,8664,8664,1.931325023,1.578370268,20.78861848,16.98944348
170310103004006,246700,27964,71146,71146,3.467517499,0.393050909,37.3240638,4.2307666
170310103004007,246173,53165,55893,55893,4.404361906,0.951192457,47.40817741,10.2385548
170310103004008,51239,9393,14065,16111,3.643014575,0.583017814,39.21309942,6.275554222
170310103004009,52979,985,52910,52910,1.001304101,0.018616519,10.77795229,0.200386625
170310103004010,228143,26457,60358,60358,3.779830346,0.438334604,40.68577275,4.718196436
170310103004011,286357,7393,26089,15857,,,,
170310103004012,216362,53216,42297,38652,5.115303686,1.376798096,55.06069434,14.81973775
170310103004013,251501,32330,62623,59198,4.016112291,0.546133315,43.22909154,5.878532613
170310103004014,270117,54184,84252,72573,3.20606039,0.746613754,34.50976169,8.036487029
170310104001000,176927,45735,73347,73347,2.412191364,0.623542885,25.96462293,6.711762647
170310104001001,411352,45932,106434,106434,3.864855215,0.431553827,41.60097322,4.645208732
170310104001002,1483657,216742,346937,220232,4.276445003,0.984153075,46.03129073,10.5933401
170310104001003,468276,96327,148860,148860,3.145747682,0.647097944,33.86056083,6.965307303
170310104001004,542230,78201,117545,127945,4.61295674,0.611207941,49.65347448,6.578990355
170310104001005,254369,77596,85862,85862,2.962532902,0.90372924,31.88845249,9.727664768
