ID,COMMUNITY_ID,TOTAL_KWH,TOTAL_THERMS,TOTAL_SQFT,TOTAL_SQFT,KWH_PER_SQFT,THERMS_PER_SQFT,KWH_PER_SQMETER,THERMS_PER_SQMETER
10,Norwood_Park,132282872,15858544,17974271,17452978,7.359568129,0.908644015,79.21776616,9.780566987
36,Oakland,7275839,1041000,1318021,1266167,5.520275474,0.822166428,59.41977626,8.849729592
76,O'Hare,66915657,3808216,11951361,8591440,5.598998892,0.443257009,60.26714845,4.771180794
15,Portage_Park,183556816,31570321,24850896,25730528,7.386325869,1.226959703,79.5057842,13.20689002
50,Pullman,49306212,5495046,5438630,5861722,9.065925058,0.937445686,97.58484719,10.09058573
54,Riverdale,28925574,4008436,1398480,1771463,20.68358074,2.262782796,222.6363061,24.35640179
1,Rogers_Park,152709580,19588375,23616663,22167517,6.466179409,0.883652193,69.60140586,9.511557135
49,Roseland,115372253,17741484,15808029,15482532,7.298332575,1.145903267,78.55863185,12.33440542
46,South_Chicago,61447495,11664857,11371976,11174598,5.403414059,1.04387263,58.16188992,11.23615631
51,South_Deering,72571804,6305779,5382762,5301617,13.48226134,1.189406741,145.1219157,12.80267313
30,South_Lawndale,153578055,19224803,19404826,19146561,7.914425772,1.004086478,85.19020669,10.80790155
43,South_Shore,94989463,23624839,22694474,23717104,4.185576762,0.99610977,45.05319271,10.72204094
3,Uptown,149431940,18470320,29872571,29037691,5.002312657,0.636080878,53.8444685,6.846720542
73,Washington_Heights,71055239,12045551,9928761,9840083,7.156506134,1.224131036,77.03202409,13.17644249
40,Washington_Park,18889416,3600982,3687291,3583346,5.122843844,1.004921657,55.14185596,10.81689135
62,West_Elsdon,54161004,5448719,5022703,5418850,10.78323843,1.005512055,116.0698624,10.82324634
67,West_Englewood,70782464,11601455,10121357,9493219,6.993376876,1.222078096,75.27611462,13.15434481
26,West_Garfield_Park,37828329,6631676,7298231,7122310,5.18321892,0.93111308,55.79172814,10.02242209
65,West_Lawn,145538890,12869317,12579755,10831565,11.56929447,1.188130893,124.5309029,12.78894001
53,West_Pullman,68389927,10813133,9746128,9508402,7.017138191,1.137218746,75.53187939,12.24092598
2,West_Ridge,169439641,25809070,30431617,30478008,5.567881621,0.846809608,59.93220479,9.114986683
24,West_Town,266993406,30664839,42522423,41645328,6.278885048,0.736333233,67.58538528,7.925828368
42,Woodlawn,151691065,7969184,9745388,9016532,15.56542079,0.88384137,167.5448671,9.513593431
